name,type,country,founded,born,died
In Flames,band,Sweden,,,
Michelle Shocked,artist,United States,,,
T. Rex,band,England,1967,,
The Hazies,band,United States,,,
The Elms,artist,United States,,,
Lilys,band,United States,,,
Fountains of Wayne,band,United States,,,
Panic at the Disco,band,,,,
Giobia,band,,,,
The Gourds,band,United States,1992,,
Peter Murphy,artist,England,,1957,
Z,band,Switzerland,1989,,
The Call,band,United States,1980,,
Dan Fogelberg,artist,United States,,,
Olivia Newton-John,artist,Australia,,1948,
Butch Hancock,artist,United States,,,
Mr. Mister,band,United States,1982,,
Take 5,band,United States,,,
Nerf Herder,band,United States,,,
Flat Eric,band,,,,
Blind Faith,band,England,1969,,
O'Malley's March,band,,,,
Mary Hopkin,artist,Wales,,,
Tarnation,band,,,,
Necrophobic,band,Sweden,,,
Mr. Big,band,United States,,,
Cledus T. Judd,artist,United States,,,
Shenandoah,band,United States,1984,,
The Lost Dogs,band,United States,1992,,
Spouse,band,United States,,,
KLa Project,band,Indonesia,,,
Heavenly,band,England,,,
Depeche Mode,band,England,1980,,
Royal Hunt,band,Denmark,,,
Color it Red,band,Philippines,,,
All About Eve,band,United Kingdom,1985,,
Modern Talking,band,Germany,,,
The Farm,band,England,,,
Burning Inside,band,United States,1995,,
Gene Vincent,artist,United States,,,
Sonny Boy Williamson II,artist,United States,,,
Medeski Martin and Wood,band,United States,,,
Frank Sinatra,artist,United States,,1915,1998
Soviet,band,,,,
Steve Poltz,artist,United States,,,
Charivari,artist,,,,
Manawatu Scottish Society Pipe Band,band,New Zealand,1925,,
Spirit Creek,band,United States,1996,,
Bloodhound Gang,band,United States,1994,,
Rudimentary Peni,band,United Kingdom,,,
Default,band,Canada,,,
Bo Skovhus,artist,United States,,,
Serial Joe,band,Canada,,,
Babylon A.D.,band,United States,1986,,
Take That,band,England,,,
Starflyer 59,band,United States,1993,,
Cyclefly,band,,,,
Tony Bennett,artist,United States,,1926,
New Klezmer Trio,band,United States,1989,,
Simon Fraser University Pipe Band,band,Canada,1966,,
Cleavage,band,Canada,,,
Chris Poland,artist,,,,
Apocalyptica,band,Finland,1993,,
PJ Grinch,band,,,,
Jayne Casey,artist,England,,,
Rachael Yamagata,artist,United States,,,
Boston,band,United States,1971,,
Rah Digga,artist,United States,,,
Black Rebel Motorcycle Club,band,United States,1998,,
The Monks,band,Germany,,,
King Errisson,artist,Bahamas,,,
Eveningtide,band,United States,2000,,
Handsome Boy Modeling School,band,United States,,,
Andrew W.K.,artist,United States,,,
Papa Vegas,band,United States,,,
Merlin,band,Canada,,,
Beta Band,band,Scotland,1997,,
Gillian Welch,artist,United States,,,
Bill Frisell,artist,United States,,,
The Zombies,band,England,,,
The Strokes,band,United States,,,
Aaron Carter,artist,United States,,,
New Jerusalem,band,United States,,,
Phil Collins,artist,England,,1951,
Perpetual Groove,band,,,,
Cesar,artist,,,,
Keb' Mo',artist,United States,,1951,
Mickey Gilley,artist,United States,,,
Filter,band,United States,,,
Babes in Toyland,band,United States,1987,,
yfriday,band,England,,,
Wendell Burton,artist,United States,,1947,
Big Town Playboys,band,United Kingdom,,,
Trapt,band,,,,
Dead Prez,band,United States,,,
Zucchero,artist,Italy,,1980,
Robbie Robertson,artist,Canada,,,
Half Looking,band,United States,,,
Status Quo,band,England,1962,,
The Hollow,artist,United States,,,
Earl Scruggs,artist,United States,,,
The Babys,band,England,1976,,
City High,band,,,,
Mad Capsule Markets,band,Japan,1991,,
Collusion Inc.,band,England,,,
Atrocity,band,Germany,1985,,
Chris Hillman,artist,United States,,,
Green Day,band,United States,1989,,
Floyd Tillman,artist,United States,,,
P-Nut,artist,United States,,1974,
Charli Baltimore,artist,United States,,1974,
Lauryn Hill,artist,United States,,1975,
The Faces,band,England,,,
Nicola Conte,artist,Italy,,2001,
Aix Em Klemm,band,United States,2000,,
Tenpole Tudor,band,United Kingdom,,,
The Motards,band,United States,,,
Deicide,band,,,,
Sarah Harmer,artist,Canada,,,
Jason and the Scorchers,band,,,,
Jim Morrison,artist,United States,,1943,1971
Caravan,band,England,,,
Darksyed,artist,Bangladesh,,,
Sarax,band,Chile,,,
Helio Sequence,band,United States,,,
Raekwon,artist,United States,,,
Jordan Zed,artist,Canada,,,
Taj,artist,Malaysia,,1974,
Elton John,artist,England,,1947,
Go Sailor,band,United States,,,
Juniper Row,band,,,,
Xunetu,band,Spain,1999,,
Tonio K.,artist,United States,,,
Alicia Keys,artist,United States,,1981,
Vermouth,band,,,,
Foreigner,band,United States,,,
AZ,artist,United States,,,
Sinisstar,band,United States,,,
Mortician,band,United States,,,
Bad Religion,band,United States,1980,,
Daniel Amos,band,United States,1975,,
The Blow Monkeys,band,England,1986,,
Fish,band,Scotland,,,
Inkubus Sukkubus,band,England,,,
Lagwagon,band,United States,,,
Team Dresch,band,United States,,,
Blinki,band,Canada,,,
The Stampeders,band,Canada,,,
Joe Satriani,artist,United States,,,
Tea for Two,band,Germany,,,
Jacques Brel,artist,Belgium,,1929,1978
Shriekback,band,United Kingdom,,,
House of Lords,band,,,,
The Bolshoi,band,England,1983,,
Karma Parade,band,United States,1998,,
Pan Sonic,band,Finland,,,
Eazy-E,band,United States,,,
MDO,band,Puerto Rico,,,
Alice in Chains,band,United States,1987,,
Master P,artist,United States,,,
Sound Tribe Sector 9,band,,,,
Lowgold,band,United Kingdom,,,
Mint Royale,band,United Kingdom,,,
Lutricia McNeal,artist,United States,,,
Kina Cosper,artist,United States,,1969,
Patty Larkin,artist,United States,,,
The Choir,band,United States,1983,,
The Ziggens,band,United States,,,
Dan Hicks,artist,United States,,,
Berlin,band,United States,1982,,
Malinky,band,,,,
Pavement,band,United States,,,
Chemlab,band,United States,,,
Skinny Puppy,band,Canada,1982,,
Glenn Frey,artist,United States,,,
Ralf Kappmeier,artist,Germany,,,
The Grass Roots,band,United States,,,
Reel Big Fish,band,United States,1995,,
Jonatha Brooke,artist,United States,,,
Charley Patton,artist,United States,,,
Terra Nova,band,United States,,,
Little River Band,band,Australia,,,
Arcadia,band,England,1984,,
Xaviera,artist,,,,
Bahamadia,artist,United States,,,
A.F.I.,band,United States,1991,,
Heroes del Silencio,band,,,,
Code Red,band,United Kingdom,,,
Taylor Dayne,artist,United States,,,
David Michael Ross,artist,United States,,,
John Farnham,artist,Australia,,1950,
Barry Adamson,artist,United States,,1958,
Bill Laswell,artist,United States,,,
Tim Kellett,artist,England,,1964,
Nancy Boy,band,,,,
Jennifer Nettles Band,band,United States,,,
Dance Hall Crashers,band,United States,1989,,
Pogues,band,United Kingdom,1982,,
Engelbert Humperdinck,artist,England,,,
Christopher Cross,artist,United States,,,
David Ball,artist,United States,,1963,
Susan Ashton,artist,United States,,1967,
Isyss,band,,,,
Poi Dog Pondering,band,United States,1986,,
7 Notas 7 Colores,band,Spain,1993,,
Jack Frost,band,Australia,,,
Innocent Cabbage,band,,,,
IQ,band,United Kingdom,,,
Vanilla Fudge,band,United States,1967,,
Geggy Tah,band,United States,,,
India.Arie,artist,United States,,,
Bachman-Turner Overdrive,band,Canada,1972,,
Mott the Hoople,band,United Kingdom,1969,,
Of A Revolution (O.A.R.),band,United States,1998,,
Rihanna,artist,Barbados,,1988,
Lindsey Buckingham,artist,United States,,1948,
Sixteen Deluxe,band,United States,,,
Paul Brandt,artist,Canada,,1972,
Tony Iommi,artist,England,,1948,
The Oblivians,band,United States,,,
Steve Hackett,artist,United Kingdom,,1950,
Fischerspooner,band,,,,
Frank Black,artist,United States,,1965,
Color Me Badd,band,United States,,,
Faith Hill,artist,United States,,1967,
Daniel Lanois,artist,United States,,,
Grand Funk Railroad,band,United States,1969,,
Our Lady Peace,band,Canada,1992,,
Seven Foot Wave,band,,,,
Elvis Crespo,artist,United States,,,
Afrika Bambaataa,artist,United States,,1960,
Matthew Ward,artist,United States,,,
Salli Carson,artist,England,,1966,
Willie Nelson,artist,United States,,1933,
ATC,band,Germany,,,
Sonerien Du,band,,,,
Tribal Tech,band,United States,,,
Merl Saunders,artist,United States,,,
Sex Gang Children,band,United Kingdom,,,
Pablo Cruise,band,United States,1973,,
ananda,band,United States,,,
David Sanborn,artist,United States,,,
Family,band,England,,,
Gabrielle,artist,United Kingdom,,,
Transglobal Underground,band,England,,,
Towa Tei,artist,Japan,,,
Transvision Vamp,band,United Kingdom,,,
BiastFear,band,United States,,,
Northpoint,band,United States,2004,,
Turriff and District Pipe Band,band,Scotland,,,
Five Pointe O,band,United States,1998,,
Elliott Murphy,artist,United States,,,
4 Non Blondes,band,United States,1989,,
Exit to Windsor,band,United States,,,
Al Green,artist,United States,,,
Nash the Slash,artist,Canada,,,
Kate Power and Steve Einhorn,band,,,,
Robin and Barry Dransfield,band,,,,
Parable,band,United States,1974,,
Nancy Kelly,artist,United States,,,
The Hilliard Ensemble,band,England,,,
John Cougar Mellencamp,artist,United States,,,
Earth to Andy,band,United States,1997,,
Add N to X,band,England,1994,,
Sam Cooke,artist,United States,,,
Hank Thompson,artist,United States,,,
It's A Beautiful Day,band,United States,,,
Vonmodik,band,,,,
The Subtonics,band,Ireland,,,
Michael Doucet,artist,United States,,,
Ozzy Osbourne,artist,United Kingdom,,1948,
Ringo Starr,artist,England,,1940,
Orchards and Vines,band,,,,
Taproot,band,United States,,,
Jaime Kyle,artist,United States,,,
Huntingtons,band,United States,,,
Roy Orbison,artist,United States,,1936,1988
Quicksilver Messenger Service,band,United States,1965,,
8½ Souvenirs,band,United States,1988,,
Des'ree,band,England,,,
Billy Gilman,artist,United States,,,
Billy J.  Kramer &amp; The Dakotas,band,England,1961,,
Elastica,band,England,,,
The Jayhawks,band,United States,,,
A Foot in Coldwater,band,Canada,,,
Wedding Musicians,artist,,,,
Police,band,,,,
Heavens to Betsy,band,United States,,,
Downy Mildew,band,,,,
Ugly Kid Joe,band,United States,,,
Junkie XL,band,Netherlands,,,
Béla Fleck,artist,United States,,,
Kristoffer Kristofferson,artist,United States,,1936,
Robyn Hitchcock,artist,England,,,
David Coverdale,artist,England,,,
21 Guns,band,United States,1991,,
Put3ska,band,Philippines,,,
Phantom Planet,band,United States,,,
Mistura,band,,,,
Rich Creamy Paint,band,,,,
Pachora,band,,,,
Freddie And The Dreamers,band,England,,,
Caroline Corr,artist,Ireland,,,
Gene Simmons,artist,Israel,,1949,
Camui Gackt,artist,Japan,,,
Winifred Atwell,artist,Trinidad and Tobago,,1914,1983
Paul Zaleski,artist,,,,
Jim Brickman,artist,United States,,,
The Outlaws,band,United States,,,
Cinerama,band,United Kingdom,,,
Jane's Addiction,band,United States,,,
Devin Townsend,artist,Canada,,,
U2,band,Ireland,1979,,
Tim Finn (born: Brian Timothy Finn),artist,New Zealand,,1952,
Laika,band,England,,,
Nigel Pulsford,artist,United Kingdom,,,
Ace Frehley,artist,United States,,1951,
Salem's Wych,band,United States,1983,,
Michael Stewart,artist,United States,,,
KISS,band,United States,1973,,
Needledrop,band,United States,2003,,
Cover Bands,band,,,,
Red House Painters,band,United States,1989,,
Lisa Brokop,artist,Canada,,1973,
Fotheringay,band,,,,
Tatyana Ali,artist,United States,,,
The Drifters,band,United States,,,
Mitchell Froom,artist,United States,,,
Moffatts,band,Canada,,,
Article of Faith,band,United States,,,
The Music,band,England,2001,,
Platypus,band,United States,,,
Laura Nyro,artist,United States,,,
Sweet 75,band,United States,,,
The Sons of the San Joaquin,band,United States,,,
Magic Bullet Theory,band,,,,
Rammstein,band,Germany,1994,,
Enslaved,band,,,,
5 Cent Theatre,band,,,,
Misia,band,Portugal,,,
Big Boys,band,United States,,,
Busy Bee,band,United States,,,
Gerry Rafferty,artist,Scotland,,,
Pankaj Udhas,artist,India,,,
Aslan,band,Ireland,1982,,
Mountain Mirrors,band,,,,
Spice Girls,band,United Kingdom,1996,,
Mike and the Mechanics,band,United Kingdom,,,
Kane and Abel,band,,,,
George,band,Australia,1996,,
Kendall Payne,artist,United States,,,
Cake Like,band,United States,1993,,
Parliament-Funkadelic,band,United States,,,
Dovetail Joint,band,United States,,,
Sophie Ellis Bextor,artist,England,,,
The Manhattan Transfer,band,United States,1972,,
Esthero,band,Canada,,,
Amplified Version,band,United States,,,
9FoldPunch,band,,,,
The Bluetones,band,England,1994,,
Mercyful Fate,band,Denmark,,,
Hank Williams,artist,United States,,1923,1953
Kool and the Gang,band,United States,1964,,
Jermaine Stewart,artist,United States,,,
Dalis Car,band,,,,
Camper Van Beethoven,band,United States,,,
Julieann Banks,artist,,,,
Bratmobile,band,United States,1991,,
Inner Surge,band,,,,
Phil Vassar,artist,United States,,,
Wayne&amp;Wax,band,United States,,,
Melt-Banana,band,Japan,,,
Hank Locklin,artist,United States,,,
The Changelings,band,United States,,,
Ooberman,band,England,,,
Black Star Liner,band,England,1995,,
Kahimi Karie,artist,Japan,,,
The Pointer Sisters,band,United States,,,
Sly and the Family Stone,band,United States,,,
Leaether Strip,band,Denmark,,,
Jump5,band,United States,,,
Mesh,band,,,,
The Durutti Column,band,England,1978,,
Therapy?,band,Northern Ireland,1989,,
The Makers,band,United States,,,
Steve Albini,artist,United States,,,
American Head Charge,band,United States,1998,,
Gloria Gaynor,artist,United States,,,
Steve Miller,artist,United States,,,
Neurosis,band,,,,
Royal Crown Revue,band,United States,,,
Paul Weller,artist,England,,1958,
Sponge,band,United States,,,
Rich Mullins,artist,United States,,1955,1997
Mose Allison,artist,United States,,1927,
Money Mark,band,United States,,,
Cabaret Voltaire,band,England,1974,,
Bruce Springsteen,artist,United States,,1949,
Sonny Boy Williamson I,artist,United States,,,
Audioslave,band,United States,2001,,
Michael Jackson,artist,United States,,1958,
Atomic Rooster,band,United Kingdom,1969,,
Simon Townshend,artist,England,,,
Annie Haslam,artist,United Kingdom,,,
Russell Watson,artist,United Kingdom,,1966,
Tracy Chapman,artist,United States,,1964,
Nick Cave and the Bad Seeds,band,Australia,,,
Tears For Fears,band,England,,,
Scorpions,band,Germany,,,
People,band,United States,,,
KC and the Sunshine Band,band,United States,1973,,
Lisa Angelle,artist,United States,,,
*N Sync,band,United States,1995,,
24 Gone,band,Canada,1989,,
Cher,artist,United States,,1946,
Matraca Berg,artist,United States,,1964,
Pepper Adams,artist,United States,,1930,1986
Ultrasound,band,England,,,
Victoria Shaw,artist,United States,,,
Wet Wet Wet,band,Scotland,,,
Teenage Fanclub,band,Scotland,,,
Ensign,band,United States,,,
Rhett Akins,artist,United States,,1969,
DriverNine,band,United States,2002,,
Evergrey,band,Sweden,,,
Heritage,band,,,,
Bronski Beat,band,England,1983,,
Sam Brown,artist,United Kingdom,,,
Johnny Vance,artist,United States,,,
Chris LeDoux,artist,United States,,,
SNFU,band,Canada,1982,,
The Offspring,band,United States,1984,,
Dead For Twenty Days,band,,,,
Peeps into Fairyland,band,Scotland,,,
Ronnie Dunn,artist,United States,,1953,
Bass is Base,band,Canada,1993,,
Junior Brown,artist,United States,,1953,
Tad,band,United States,,,
Old 97s,band,United States,,,
Flatt and Scruggs,band,United States,,,
For Real,band,United States,,,
Pillar,band,United States,1998,,
Fastball,band,United States,1990,,
Turkish Rocker Artists,artist,,,,
Suede,band,United Kingdom,,,
Maria Callas,artist,United States,,1923,1977
Factory 81,band,United States,,,
Rachel Loy,artist,United States,,1983,
Creeker,band,United States,1995,,
Naked Eyes,band,,,,
The Imperials,band,,,,
Crowded House,band,New Zealand,1985,,
Yazoo,band,United Kingdom,,,
The Vandals,band,United States,1981,,
Bauhaus,band,England,1978,,
Toby Keith,artist,United States,,1961,
Matthias Goerne,artist,Germany,,,
Fred Hammond,artist,United States,,,
Fabba,band,United Kingdom,,,
Uncle Tupelo,band,United States,,,
Adam Ant,artist,England,,1954,
The Skatalites,band,Jamaica,1963,,
Chris Farlowe,artist,England,,,
Front Line Assembly,band,Canada,,,
Warren Brothers,band,United States,,,
John Gustafson,artist,England,,,
Joe Diffie,artist,United States,,,
Mew,band,,,,
Rockwell Church,band,United States,,,
Prick,band,United States,,,
Linda Eder,artist,United States,,1961,
The Waitresses,band,United States,,,
Jon B.,artist,United States,,1974,
Locust,band,England,,,
Mohammed Rafi,artist,India,,,
Popol Vuh,band,Germany,,,
Hella,band,,,,
The Weakerthans,band,Canada,,,
Happy Mondays,band,England,,,
Twinfold,band,,,,
Ilse DeLange,artist,Netherlands,,,
Rick Monroe,artist,United States,,,
Colby Prior Band,band,,,,
Mundy,artist,Ireland,,1975,
Clan Campbell Scotch Whisky Pipe Band,band,,,,
Darling Violetta,band,United States,,,
All Together Separate,band,United States,1998,,
Einstürzende Neubauten,band,Germany,1980,,
Nicolette Larson,artist,United States,,,
John Hammond,artist,United States,,,
Elvis Costello,artist,England,,1954,
Charlotte Church,artist,Wales,,,
Supertramp,band,England,1969,,
DoReMi,band,Australia,,,
Viva Voce,band,United States,,,
Reymee,artist,Malaysia,,1976,
Odetta,band,United States,,,
Faron Young,artist,United States,,1932,1996
Babyface,artist,United States,,1959,
Stevie Ray Vaughan,artist,United States,,1954,1990
Wilson Phillips,band,United States,,,
Sunscreem,band,England,,,
Siti Nurhaliza,artist,Malaysia,,1979,
Slainte Mhath,band,Canada,,,
Dave Brubeck,artist,United States,,1920,
Adios Pantalones,band,,,,
Rick Tippe,artist,Canada,,,
Pharoah Sanders,artist,United States,,,
Dalton Grant,band,United States,2001,,
Charlie Parker,artist,United States,,1920,1955
Presidents of the United States of America,band,United States,1990,,
Saves the Day,band,United States,1997,,
Emmylou Harris,artist,United States,,,
Victoria Beckham,artist,England,,1975,
Nina Hynes,artist,Northern Ireland,,,
The Chemical Brothers,band,England,1989,,
Stretford,band,United States,,,
Neil Innes,artist,England,,,
Phil Lesh,artist,United States,,,
Issa Bagayogo,artist,Mali,,1961,
Sigmund Snopek III,artist,United States,,,
Kid Dakota,band,United States,,,
Smokie,band,England,,,
Morrissey,artist,United Kingdom,,,
Slaughter,band,United States,,,
The Posies,band,United States,,,
Gamine,band,,,,
Eve's Plum,band,United States,,,
Lisa Loeb,artist,United States,,,
Alberto Varillas,artist,Spain,,1969,
Mungo Jerry,band,England,,,
Bobby Vee,artist,United States,,,
Smakhead,band,United States,,,
Atari Teenage Riot,band,Germany,1992,,
The Avalanches,band,Australia,,,
Robert Palmer,artist,England,,1949,2003
Gas Giants,band,United States,,,
Mental as Anything,band,Australia,1976,,
M/A/R/R/S,band,,,,
Tommy Shaw,artist,United States,,,
Scritti Politti,band,United Kingdom,,,
M. Nasir,artist,Singapore,,1957,
Halo Benders,band,United States,,,
Pam Tillis,artist,United States,,,
Hackberry Ramblers,band,United States,,,
The Ocean Blue,band,United States,1987,,
Peroxide,band,,,,
Glass Tiger,band,,,,
Dali's Car,band,England,1984,,
Helmut Lotti,artist,Belgium,,,
TSOL,band,United States,,,
Dru Hill,band,United States,,,
Aimee Mann,artist,United States,,1960,
Slayer,band,United States,,,
Usher,artist,United States,,1978,
Boozoo Chavis,artist,United States,,,
Luna Halo,band,United States,1998,,
The Chieftains,band,Ireland,,,
The Big Tymers,band,United States,1998,,
James Booker,artist,United States,,1939,1983
Vince Welnick,artist,United States,,,
Godhead,band,United States,,,
Tweet,band,,,,
The Runaways,band,United States,1975,,
Genesis,band,England,1966,,
T-Bone,artist,United States,,,
Brodie,band,United States,,,
Crimson Twins,band,United States,,,
Kiki Dee,artist,England,,,
Shirley Bassey,artist,Wales,,1937,
Loud Lucy,band,United States,,,
Zero 7,band,United Kingdom,,,
Royal Highland Fusiliers,band,Scotland,,,
SA Martinez,artist,United States,,1969,
The Cultivators,band,United States,,,
Vanessa-Mae,band,Singapore,,,
The Bangles,band,United States,1981,,
Zeal,band,United States,,,
Oasis,band,England,1991,,
Rose Polenzani,artist,United States,,,
Ronnie James Dio,artist,United States,,,
Michelle Branch,artist,United States,,1986,
Shawn Lane,artist,United States,,,
Sand Rubies,band,United States,,,
Jari Kainulainen,artist,Finland,,1970,
Violet Indiana,band,,,,
Jonathan Richman,artist,United States,,,
Acappella,band,United States,1982,,
Mac Davis,artist,United States,,1942,
X-Ray Spex,band,England,1976,,
The Carpenters,band,United States,1968,,
6X,band,United States,,,
Yatsura,band,Scotland,1990,,
Beth Orton,artist,England,,,
Paris by Night,band,,,,
Ginny Owens,artist,United States,,,
The Cars,band,United States,,,
Ramones,band,United States,1974,,
Mantra,band,,,,
Duke Ellington,artist,United States,,,
Fighting Gravity,band,United States,,,
Sum 41,band,Canada,1996,,
Machine Head,band,United States,,,
Nyn Sublym,band,United States,,,
Valor,band,,,,
Macy Gray,artist,United States,,1970,
Mojave 3,band,England,,,
59 Times the Pain,band,Sweden,1993,,
Ricky Van Shelton,artist,United States,,,
Grateful Dead,band,United States,,,
Nocturnal Rites,band,Sweden,,,
Symposium,band,England,1996,,
Lion's Share,band,Sweden,,,
Waltari,band,Finland,1986,,
Lefty,band,United States,,,
Sheryl Crow,artist,United States,,1962,
Black Bottle Scotch Whisky Pipe Band,band,Scotland,1989,,
Bellefire,band,Ireland,,,
Dia DiCristino,artist,United States,,,
Pat Green,artist,United States,,,
Louise Hoffsten,artist,Sweden,,,
Jeff Beck,artist,England,,1944,
Mahalia Jackson,artist,United States,,,
N17,band,United States,,,
Lords of Acid,band,Belgium,,,
Placebo,band,England,1994,,
Sugababes,band,United Kingdom,,,
Plastikman,band,England,,,
Delirious?,band,England,1992,,
Gin Blossoms,band,United States,1987,,
Glad,band,United States,,,
Amazing Rhythm Aces,band,United States,1974,,
Disposable Heroes of HipHoprisy,band,United States,,,
Weeping Tile,band,Canada,,,
Methods of Mayhem,band,United States,,,
SatanicBlack,band,United States,,,
Julian Coryell,artist,,,,
Wishing Chair,band,,1995,,
Terry Clark,artist,United States,,,
Mano Negra,band,France,1986,,
Joni Mitchell,artist,Canada,,1943,
Freeland Barbour and Iain Fraser,band,,,,
Rascal Flatts,band,United States,,,
Venus Euphoric,band,,,,
Krystal Marie Harris,artist,United States,,1981,
No Fun At All,band,Sweden,,,
Bob Carlisle,artist,United States,,,
John Constant,artist,United States,,,
Zero Chance,band,,,,
Jefferson Airplane,band,United States,,,
Servotron,band,United States,,,
Prefab Sprout,band,England,,,
Chad Sexton,artist,United States,,1970,
Patti Smith,artist,United States,,,
Mick Karn,artist,England,,1958,
Scared Weird Little Guys,band,,,,
Grandpa Jones,artist,United States,,,
Everlast,artist,United States,,,
Snow Patrol,band,United Kingdom,1998,,
Pennywise,band,United States,,,
Llama,band,,,,
Punkreas,band,Italy,1990,,
Chet Atkins,artist,United States,,1924,2001
Hilary Duff,artist,United States,,1987,
Iron Butterfly,band,United States,,,
Rufus Wainwright,artist,Canada,,1973,
Roy Carrier,artist,United States,,,
Sarah Vaughan,artist,United States,,1924,1990
Wishbone Ash,band,England,,,
Ralph Stanley,artist,United States,,,
Celtus,band,United Kingdom,,,
Boy Sets Fire,band,United States,1994,,
Elemenopees,band,United States,,,
R. Kelly,artist,United States,,,
Pleistoscene,artist,United States,,1999,
A-Frames,band,,,,
Neutral Milk Hotel,band,United States,,,
Toni Braxton,artist,United States,,1967,
Phil Crumar,artist,United States,,,
B'z,band,Japan,,,
Matthew Sweet,artist,United States,,1964,
Jimmie Vaughan,artist,United States,,,
Gipsy Kings,band,France,,,
Dinu Lipatti,artist,Romania,,1917,1950
Polkemmet Grorud Pipe Band,band,,,,
Hocico,band,Mexico,,,
Paul Janz,artist,Canada,,,
Daughters,band,,,,
Charlie Christian,artist,United States,,,
Monica,band,United States,,,
Steve Scott,artist,England,,1963,
Chic,band,United States,,,
Angham,artist,Egypt,,,
Nunawading Pipe Band,band,Australia,1956,,
Dion,artist,United States,,,
Mosca De Bar,band,Chile,,,
One True Voice,band,England,,,
Celtic Spirit,band,,,,
Ms Dynamite,artist,England,,,
UB40,band,England,1980,,
The Flying Postmen,band,Moldova,,,
Fecal Matter,band,,,,
Caviar,band,United States,,,
Acts,band,United States,,,
Mouth Music,band,,,,
Holly Throsby,artist,Australia,,1979,
Doug Supernaw,artist,United States,,,
Crevice,band,United States,,,
Ash,band,Northern Ireland,1989,,
Levellers,band,United Kingdom,,,
The Wailers,band,Jamaica,,,
Ravara Pipe Band,band,Ireland,1946,,
Marshall Tucker Band,band,,,,
Stephen Stills,artist,United States,,,
Ruth Etting,artist,United States,,,
Clam Chowder,band,United States,1977,,
Talk Talk,band,England,,,
Modest Mouse,band,United States,1993,,
Paul Simon,artist,United States,,1941,
Clark Family Experience,band,,,,
Gerry and The Pacemakers,band,England,,,
Barry Manilow,artist,United States,,1946,
Eden's Crush,band,United States,2001,,
Something Corporate,band,United States,2000,,
Styx,band,United States,1970,,
Michael W. Smith,artist,United States,,,
Bob Marley,artist,Jamaica,,1948,1981
Queens Own Highlanders Pipes and Drums,band,Scotland,1961,,
Beau Jocque,artist,United States,,,
Absu,band,United States,1992,,
Avalanche Compagnie,band,France,,,
Generation,band,United States,1969,,
The Echoing Green,band,United States,1991,,
Tonca and Friends,band,Netherlands Antilles,,,
Angels And Airwaves,band,,,,
Robert Bradley's Blackwater Surprise,band,United States,,,
Dizzy Gillespie,artist,United States,,1917,1993
Tommy James,artist,United States,,,
Dionne Warwick,artist,United States,,,
Rody Coronel,artist,Netherlands,,1971,
Kansas,band,United States,1973,,
Artichoke,band,,,,
7 Seconds,band,United States,1980,,
Eric Griffiths,artist,England,,1940,2005
DDRUNK,band,,,,
Lena Zavaroni,artist,Scotland,,1963,1999
Miyavi,artist,Japan,,,
Cibo Matto,band,United States,,,
Shakira,artist,Colombia,,1977,
Bryan Duncan,artist,United States,,,
Universal Tribe,band,,,,
Monty Holmes,artist,,,,
ELP,band,United Kingdom,1970,,
One Less Reason,band,,,,
TLC,band,United States,,,
Steve Earle,artist,United States,,1955,
Radish,band,United States,,,
Lee Perry,artist,Jamaica,,,
The Archies,band,United States,1968,,
Rahzel,band,United States,,,
Steadman,band,England,,,
Style Council,band,United Kingdom,,,
The Breeders,band,United States,1988,,
Luscious Jackson,band,United States,,,
Level 42,band,England,,,
Gianna Nannini,artist,Italy,,,
Vallejo,band,United States,1990,,
Geezer Butler,artist,England,,1949,
2nd Chapter Of Acts,band,United States,1972,,
Bernard Butler,artist,United Kingdom,,,
Bill Bruford,artist,England,,1948,
Sporty Thievz,band,United States,,,
Lynne Dawson,artist,England,,,
Elvis Presley,artist,United States,,1935,1977
Patty Griffin,artist,United States,,1964,
Own Little World,band,,,,
Kylie Minogue,artist,Australia,,1968,
Nadanuf,band,United States,,,
Steve Howe,artist,England,,,
Natacha Atlas,artist,Belgium,,,
Helium,band,United States,,,
April Wine,band,Canada,1969,,
Eleven Days,band,United States,,,
Soft Machine,band,United Kingdom,,,
Joan Armatrading,artist,Saint Kitts and Nevis,,1950,
Devil Doll,band,Italy,,,
Youth Brigade,band,United States,1980,,
theSTART,band,United States,1998,,
Diane Chambers,artist,,,,
Tonya Rae,artist,United States,,,
AVB,band,United States,1985,,
New Found Glory,band,United States,1997,,
Darrell Mansfield,artist,United States,,,
Espen Lind,artist,Norway,,,
4Him,band,United States,1990,,
The Divinyls,band,Australia,,,
Farmers Market,band,Norway,1991,,
The Go-Go's,band,United States,1978,,
Bourbon Tabernacle Choir,band,Canada,1985,,
Fannypack,band,,,,
Les July,band,United States,,,
Ken Tamplin,artist,United States,,,
The Coasters,band,United States,,,
Tony MacAlpine,artist,,,,
Trent Reznor,artist,United States,,1965,
Third Day,band,United States,1995,,
Field Marshal Montgomery Pipe Band,band,Ireland,1949,,
Nickel Creek,band,United States,1989,,
Dope,band,United States,,,
En Vogue,band,United States,,,
Dervish,band,Ireland,,,
Streets,band,United States,1982,,
Scott Wesley Brown,artist,United States,,,
Keith Caputo,artist,,,,
Innosense,band,United States,,,
Paul Ojibway,artist,United States,,,
Bob Margolis,artist,United States,,,
DJ Shadow,band,United States,,,
Peter Apfelbaum,artist,United States,,1960,
Off The Hook,band,,,,
Bowling For Soup,band,United States,1994,,
Emily Carlstrom,artist,United States,,,
