name,type,country,founded,born,died
Sugar,band,,,,
Fay Lovsky,artist,Netherlands,,,
The Lanternjack,band,United States,,,
Frank Zappa,artist,United States,,1940,1993
Robert Haig Coxon,artist,Canada,,,
Selena,band,United States,,,
Fairground Attraction,band,United Kingdom,,,
The Ventures,band,United States,1958,,
Lyle Lovett,artist,United States,,,
Kevin Ayers,artist,England,,1945,
America,band,United States,1967,,
Ozric Tentacles,band,United Kingdom,,,
Liquid Plumber,band,United States,,,
Me First and the Gimme Gimmes,band,,,,
Aaron Genest,artist,Canada,,1974,
Musiq Soulchild,artist,United States,,,
Colin Amey,artist,Canada,,,
Magellan,band,United States,,,
The Modern Jazz Quartet,band,United States,,,
Borbetomagus,band,United States,1979,,
Vanessa Paradis,artist,France,,,
Gary Allan,artist,United States,,,
John Schneider,artist,United States,,,
Neville Brothers,band,,,,
State of Quo,band,United Kingdom,,,
MyNis,band,United States,,,
Keith Thornton,artist,United States,,,
The Supernaturals,band,Scotland,,,
Dan Reed Network,band,United States,1983,,
Luna Sea,band,Japan,,,
Karen Staley,artist,United States,,,
Buddy Holly and The Crickets,band,United States,1953,,
Queensrÿche,band,United States,1981,,
Keith Stegall,artist,United States,,,
King's X,band,United States,1985,,
W.A.S.P.,band,United States,1982,,
Yello,band,Switzerland,1979,,
Lothian and Borders Police Pipe Band,band,Scotland,1975,,
Kuda,artist,,,,
Bloc Party,band,United Kingdom,2003,,
Aikawa Nanase,artist,Japan,,1975,
Garbage,band,United States,1993,,
Chuck D,band,United States,,,
Anois,band,Netherlands,1996,,
Train,band,United States,1994,,
Take 6,band,United States,,,
Tripping Daisy,band,United States,,,
The James Taylor Quartet,band,England,,,
At Dusk,band,United States,2002,,
Simply Slang,band,United States,2003,,
King Tubby,artist,Jamaica,,,
Edie Brickell and The New Bohemians,band,United States,1985,,
Zebrahead,band,United States,,,
Dr. Dre,artist,United States,,1965,
P. Ramlee (pronounced 'p rum-lee'),artist,Malaysia,,1929,1973
Bobby Blue Bland,artist,United States,,1930,
South Sixty Five,band,United States,,,
Gong,band,Australia,,,
Rivermaya,band,Philippines,,,
Johner Brothers,band,Canada,,,
Jean Michel Jarre,artist,France,,1948,
Opal,band,United States,,,
Puff Johnson,artist,United States,,,
Sigue Sigue Sputnik,band,United Kingdom,,,
The Insyderz,artist,United States,,,
Lo-Fidelity Allstars,band,England,,,
John Waite,artist,England,,,
Evan and Jaron,band,United States,,,
Wes King,artist,United States,,1966,
Jesse Harris,band,United States,,,
Crucial Conflict,band,United States,,,
Nirvana,band,United States,1988,,
Das Ich,band,Germany,1989,,
Loudon Wainwright III,artist,United States,,,
Three Days Grace,band,,,,
Janus Stark,band,United Kingdom,,,
His Name is Alive,band,United States,,,
The Grays,band,United States,,,
Pestilence,band,Netherlands,,,
D-12,band,United States,,,
Farrah Franklin,artist,,,,
Toots and the Maytals,band,,1966,,
Chilliwack,band,Canada,,,
Los Bravos,band,Spain,,,
Confederate Railroad,band,United States,,,
Jackie and the Cedrics,band,Japan,,,
Springbok Nude Girls,band,,,,
Capercaillie,band,Scotland,,,
Nuno Bettencourt,artist,Portugal,,1966,
Afterlife,band,United States,,,
Olivia Tremor Control,band,United States,,,
Defleshed,band,Sweden,,,
Uversa,band,,,,
Lowery 66,band,United States,,,
UFO,band,United Kingdom,,,
American Pearl,band,United States,1997,,
Twist,band,Canada,,,
Type O Negative,band,United States,,,
The House of Love,band,United Kingdom,,,
Clinic,band,United Kingdom,,,
Red Lorry Yellow Lorry,band,England,,,
Bruce Dickinson,artist,England,,,
Streetnix,band,Canada,1991,,
Dare,band,Ireland,1988,,
ZDOB SI ZDUB,band,Moldova,1994,,
H2O,band,,,,
Kato,band,United Kingdom,,,
Flipper,band,United States,,,
Carlos Dacosta,artist,Canada,,,
Pedro Aznar,artist,Argentina,,1959,
Reprazent,band,England,,,
Bar 7,band,United States,1998,,
Eurythmics,band,United Kingdom,,,
Stian,band,Norway,,,
Front 242,band,Belgium,1981,,
The Church,band,Australia,1980,,
Junoon,band,Pakistan,,,
Leon Russell,artist,United States,,,
The Beastie Boys,band,United States,1979,,
Andre Tanneberger,artist,Germany,,,
Chris Merritt,artist,United States,,,
New York Dolls,band,United States,1972,,
Luxx,band,United States,1995,,
Mother Love Bone,band,United States,1988,,
Guy Smiley Blues Exchange,band,United States,,,
Lonesome River Band,band,United States,,,
Shri,band,India,,,
The Box Tops,band,United States,1966,,
Qwasian,artist,United States,,,
George Strait,artist,United States,,,
LaToya Jackson,artist,United States,,,
Sade,band,Nigeria,,,
The Burns Sisters Band,band,United States,1986,,
Andrea Bocelli,artist,Italy,,1958,
Tab Two,band,Germany,,,
Anavox,band,United States,,,
Zed,band,New Zealand,,,
Filet of Soul,band,United States,,,
U96,band,,,,
13th Floor Elevators,band,United States,1965,,
White Zombie,band,United States,1985,,
Royal Burgh Of Annan Pipe Band,band,Scotland,,,
B*Witched,band,Ireland,,,
Lambchop,band,United States,,,
Buzzcocks,band,England,1975,,
Randy Meisner,artist,United States,,,
12 Rounds,band,United Kingdom,,,
Glasgow Police Pipe Band,band,Scotland,1912,,
3 Doors Down,band,United States,,,
Keith Moon,artist,England,,1947,1978
Louis Jordan,artist,United States,,,
The Negro Problem,band,United States,,,
Black 47,band,United States,1990,,
Charles Mingus,artist,United States,,1922,1979
Sheila E.,artist,United States,,,
Rob Barrick,artist,Canada,,,
Danja Mowf,band,,,,
Orb,band,United Kingdom,,,
Blake Babies,band,United States,1986,,
King Sunny Ade,artist,Nigeria,,1946,
98 Degrees,band,United States,1995,,
Anne Murray,artist,Canada,,,
MC5,band,United States,1963,,
Xzibit,artist,United States,,,
Edgewater,band,,,,
Bob Wills,artist,United States,,,
Eskimo Joe,band,Australia,,,
Widespread Panic,band,United States,,,
Stone Temple Pilots,band,United States,,,
Stereolab,band,United Kingdom,,,
Coil,band,England,,,
Mark Lanegan,artist,United States,,,
The Brilliant Green,band,Japan,,,
Sloan,band,Canada,1991,,
In the Nursery,band,England,,,
Boogie Down Productions,band,United States,1986,,
McFly,band,,,,
Buffy Sainte-Marie,artist,Canada,,,
Jars of Clay,band,United States,1993,,
Ill Nino,band,United States,2000,,
DJ Dara,artist,Ireland,,,
Soft Cell,band,England,1980,,
Daniel Pecchio,artist,United States,,,
Corey Brian Slutsky,artist,United States,,1978,
Cannonball Adderley,artist,United States,,1928,1975
The Shroud,band,United States,,,
Uriah Heep,band,United Kingdom,1970,,
